,tweets,date,user,location
88,do you think mashiho and yedam meet up with the members before they leave? like maybe spend time together for one l… https://t.co/SBKDXoW8dK,2022-11-11 13:01:06+00:00,najmfal,she/her
89,to all teumes that are hurting please rmbr that out of everyone who probably had the hardest time than all of us? i… https://t.co/eLuLsTrS2K,2022-11-11 13:00:28+00:00,yedeenoona,bang yedam ❣️
90,"They will always be the star is teume's heart ❤️✨
#treasure #MASHIHO #YEDAM https://t.co/QJXhcuVJBl… https://t.co/yN4BieyzKn",2022-11-11 12:57:13+00:00,smiling_lyn,Malaysia
91,"wts lfb ph

treasure random PCS
➥ ₱80/ea

concept PCS
➥ ₱30/ea

unit PCS
➥ ₱50/ea

❧ onhand
❧ payo | 3 days reserva… https://t.co/kbs6DBH4PZ",2022-11-11 12:51:50+00:00,StayTeumeIFNT,
92,"Bundle yedam sadboy paddlepop sold 👍🏻
Bundle yedam sadboy headband sold 👍🏻
Asahi jackfrost sold 👍🏻
Mashiho sajadah on hold 🤝",2022-11-11 12:47:28+00:00,jaemysunshine,.EXO.DAY6.JAE.SVT.TREJO.TXT. 
93,Crying over Mashiho Yedam,2022-11-11 12:46:12+00:00,urfavc0okie,
94,to BIGBANG​ WINNER​ TREASURE​ MASHIHO YEDAM. https://t.co/GOlaDRdv9M,2022-11-11 12:45:53+00:00,youdeservebett,หม่ามี๊ ♡︎ น้องรุโตะ 
95,siotla i just think about how can i watch the concert while knowing yg will remove yedam's and mashiho's voices in… https://t.co/iiLQ7lcTT2,2022-11-11 12:45:48+00:00,keevyoon,18 | she/her 
96,i can’t magine slowmotion &amp; going crazy without mashiho yedam https://t.co/gckTsXQox0,2022-11-11 12:41:48+00:00,hooniecults,she/her read txties byf
97,"i stanned @treasuremembers because of ""everyday"", the first guys i recognized from them are jihoon, mashiho, yedam… https://t.co/oQ140s76Vb",2022-11-11 12:41:35+00:00,koishiteharua,harukyu's
98,"gonna protect treasure, yedam, and mashiho at all costs😡🔧",2022-11-11 12:38:05+00:00,yedamiyeyo,
99,"Again, you know those members that really cares for Mashiho and Yedam and those that treat them as competition. https://t.co/40jTCzgEDW",2022-11-11 12:34:59+00:00,WINNER_ismyHOME,
100,I really hope I still can hear the gold of yedam’s voice and watch amazing dancer like mashiho again… perhaps..,2022-11-11 12:33:22+00:00,sayraamin,Homeless
101,"Thank You For Begin With Treasure Thank yOuU Too Much For Everything I LoOve For Infinity,I Will Never Forget YoUu… https://t.co/mCTKA1GQcX",2022-11-11 12:31:42+00:00,S4v4ge_0,Iraq
102,How could someone say that Teume doesn't care about Mashiho and Yedam when all the Teumes I saw were so sad that th… https://t.co/w3eQ20tuxX,2022-11-11 12:28:28+00:00,beruangjeongwoo,
103,i respect mashidam's desisyon pero apart of me is nasasaktan pa din. esp that Yedam is my first bias from ygtb befo… https://t.co/N8nmc9JisB,2022-11-11 12:27:31+00:00,nakamoto_dons,multi fan
104,@kkk_hyu I LOVE MASHIHO YEDAM,2022-11-11 12:23:45+00:00,Baby_yemmy,
105,"First All Of Things,I Want tO Say That Treasure Is'12 ,Teumes Are Can't Forgot You I hope You Be Happiest Ever Teum… https://t.co/3cPKlKuc0V",2022-11-11 12:20:41+00:00,S4v4ge_0,Iraq
106,@pjhcache im praying for yedam and mashiho fast recovery and a successful life/debut 🫠,2022-11-11 12:20:40+00:00,pjwooluvbot,"
s!her / 09.28.04 
𖥻 jeongwoo, junghwan and asahi bias 
   my account is dedicated for treasure¹² ✦
   ꕤ 🧁 teume dont follow \\ sb to unfollow 
"
107,you can support treasure with ten members AND still be sad about yedam and mashiho's departure. those two can coexi… https://t.co/PTLvuNYPBy,2022-11-11 12:20:26+00:00,from_thetoppp,she/her 🇵🇭 
108,takata mashiho bang yedam i miss you :(,2022-11-11 12:19:38+00:00,hik8n,he they 22
109,atp my way of coping with the yedam and mashiho announcement is to truly act like it never happened like wdym I’ll never see ot12??,2022-11-11 12:13:01+00:00,atinymari,"Grand Rapids, MI"
110,Everyday… without Mashiho’s and Yedam’s voice. I can’t 😭😭😭 https://t.co/s3onno77cm,2022-11-11 12:10:44+00:00,_fynnr_,
111,Me to yedam and mashiho https://t.co/op3hWEt0fF,2022-11-11 12:10:05+00:00,junwaies,"kinda inactive, bcs busy in rl"
112,"@GENE_tiics it's up to you to support 12 or 10, but please don't say bad things to yedam or Mashiho, thanks",2022-11-11 12:09:33+00:00,56halt,Teuland
113,@treasuremenfess noticing mashiho sering banget ada dideket yedam for no reason.,2022-11-11 12:08:14+00:00,doodlyja,💎only
114,"wts lfb ph 
• treasure photocards
    ★ set for 1,500
Tingi ₱70 - ₱150
    ★ onhand; mint condi
    ★ gcash / j&amp;t,… https://t.co/rPfjPh4DkZ",2022-11-11 12:02:06+00:00,dinochanshi,
115,i love you mashiho and yedam 🤍,2022-11-11 11:57:53+00:00,midnightjunkyu,ia. she/her.
116,"UPDATED ‼️

wts treasure yedam haruto yoshi asahi mashiho hyunsuk 
blooming membership kit manyo booth trace paddle… https://t.co/HSvHMfkdop",2022-11-11 11:54:47+00:00,hurryupbby,pacar doyie
117,I miss you everyday Bang Yedam and Takata Mashiho. https://t.co/rBErTt3Mxl,2022-11-11 11:54:45+00:00,cartoflawoo,+63 | ‘99 | she/her
118,Re-watching Tmap today hits different. Back then I was laughing and enjoying now i am crying and reminiscing those… https://t.co/y2qjIlzvTE,2022-11-11 11:54:32+00:00,ai_hamadaa,tueland 🇵🇭🇰🇷
119,"Mashiho and Yedam are my babies, but their fans takes are still invalid.",2022-11-11 11:43:38+00:00,justLiz__, she/her
120,I still put mashiho and yedam even they’re not in the fanchant https://t.co/YJlb5lPTq2,2022-11-11 11:38:06+00:00,dreamy_niie,missing mashidam 🦊🍀🐹
121,"im just so sad that mashiho and yedam didn't experience this crowd :((

https://t.co/jNv8J4JLXB",2022-11-11 11:37:03+00:00,pkjikyu,
122,It's a lie if i say i don't cry today. I still in denial phase😭💔. I really wish one day yedam and mashiho will go b… https://t.co/BQIGFmjATz,2022-11-11 11:35:06+00:00,kyudamdoy_,teuland
123,What if someone will see Yedam and Mashiho attending tomorrow or in day 2 concert. Then treasure will notice and me… https://t.co/Quy9QNOsnC,2022-11-11 11:32:38+00:00,Yoshi_BabyTiger,"Love, Appreciation Exist ✦ ♥ ⚡"
124,"Krunk! Why are you making us cry with Mashiho and Yedam's voice?

Awwwww, I miss them

@treasuremembers https://t.co/xkDSMXbVZQ",2022-11-11 11:31:34+00:00,thejorgej,Somewhere over the rainbow
125,My diary to YEDAM and MASHIHO🦊🍀😭 https://t.co/QX7AYrAUcQ,2022-11-11 11:31:23+00:00,pp_chh23,
126,"🎶Gonna Be Fine (Treasure) 

Reposting to cheer up @loveszei who is a bit sad that mashiho and yedam are leaving the… https://t.co/TCS4D8tceo",2022-11-11 11:30:21+00:00,JamesB_65,UK🇬🇧
127,"ⓘ this user will always support mashiho &amp; yedam, this user will always support treasure.",2022-11-11 11:24:45+00:00,Jela_Trsrmkr,
128,yedam and mashiho will be trsr's special guest for their concert tomorrow,2022-11-11 11:22:16+00:00,dlxpjw,最高のボーイズグループ
